date,y,trend,yearly
,0.7030004,0.5676257,0.7630587
,0.6503822,0.5673697,0.68618643
,0.54803056,0.5671134,0.6331513
,0.4678862,0.566857,0.64441633
,0.46342188,0.56660026,0.71031094
,0.5317239,0.56634337,0.7783777
,0.6177738,0.56608623,0.79361403
,0.6567531,0.5658289,0.7409525
,0.6222573,0.5655713,0.65764457
,0.5445876,0.5653135,0.60595965
,0.48624402,0.5650555,0.62657857
,0.49384087,0.5647972,0.7077383
,0.5628995,0.5645387,0.79334235
,0.6416916,0.56428003,0.8240148
,0.6706158,0.5640211,0.7804781
,0.6269937,0.56376195,0.69693077
,0.5415532,0.56350255,0.63477176
,0.4746507,0.563243,0.6367254
,0.47075057,0.56298316,0.69581443
,0.5258107,0.5627231,0.7622105
,0.5919898,0.56246287,0.78222775
,0.615528,0.56220233,0.7396032
,0.5785084,0.5619416,0.66776013
,0.51251996,0.5616807,0.6239528
,0.47388905,0.56141955,0.6451182
,0.49957564,0.5611581,0.71914166
,0.57762814,0.5608965,0.7934386
,0.65504,0.5606347,0.81442076
,0.67735565,0.5603726,0.76799405
,0.63008344,0.56011033,0.6903429
,0.55037606,0.55984783,0.64071536
,0.49979258,0.5595851,0.6567138
,0.51841044,0.5593221,0.72580206
,0.5947689,0.55905896,0.7946345
,0.67434746,0.5587955,0.80926764
,0.7002941,0.55853194,0.75594825
,0.65581304,0.5582681,0.6717198
,0.57636297,0.55800396,0.616766
,0.5225712,0.5577397,0.6292048
,0.5344083,0.55747515,0.6963869
,0.60128486,0.5572104,0.7643255
,0.6706685,0.55694544,0.7782606
,0.6886383,0.5566802,0.7239451
,0.64155173,0.5564148,0.63867277
,0.5670339,0.5561491,0.5837176
,0.52564967,0.5558833,0.59876823
,0.5544543,0.55561715,0.67239547
,0.63760984,0.5553509,0.7504635
,0.7167246,0.55508435,0.7759985
,0.7337903,0.55481756,0.7306602
,0.6749005,0.5545506,0.6470042
,0.5819416,0.5542833,0.5829476
,0.5230678,0.5540159,0.5782136
,0.5433883,0.55374825,0.6257252
,0.63212276,0.5534803,0.67923373
,0.7303576,0.5532122,0.6907387
,0.77355355,0.5529439,0.6486664
,0.73742574,0.55267537,0.5873631
,0.6537027,0.55240655,0.5604814
,0.5849424,0.55213755,0.59848547
,0.5779684,0.5518683,0.68290377
,0.63086784,0.5515989,0.75751156
,0.6975881,0.5513292,0.76871485
,0.72551227,0.5510593,0.70523524
,0.69664395,0.5507892,0.60727626
,0.6408615,0.5505188,0.5380089
